ID_subjsess,ID_subj,ID_sess,ID_sex,ID_agegroup,ID_bdate,ID_tdate,ID_race,ID_ethnicity,ID_weight1,ID_weight2,ID_height1,ID_height2,ID_rightleg1,ID_rightleg2,ID_leftleg1,ID_leftleg2,ID_locomotor,onset,offset,task_ordinal,task_task,computervision_ordinal,computervision_videopreset,usedata_ordinal,usedata_playdata,object1_ordinal,object1_obj,object1_action_state_ordinal,object1_action_state_obj,object1_action_state_action,object1_action_state_noise,object1_action_state_detach,object1_action_state_reattach,object1_action_state_takeout,object1_action_state_putin,object1_action_state_popup,object1_action_state_hidden,object1_action_state_open,object1_action_state_close,object2_ordinal,object2_obj,object2_action_state_ordinal,object2_action_state_obj,object2_action_state_action,object2_action_state_noise,object2_action_state_detach,object2_action_state_reattach,object2_action_state_takeout,object2_action_state_putin,object2_action_state_popup,object2_action_state_hidden,object2_action_state_open,object2_action_state_close
29_07,29,07,f,13,01/19/22,02/24/23,m,h,11.13,11.14,76.1,77.2,34.4,34.4,34.2,34.4,c,1389580,1389581,2,r,2,r,2,r,10,rb,88,rb,d,,,,,,,,,,,,,,,,,,,,,,,
29_07,29,07,f,13,01/19/22,02/24/23,m,h,11.13,11.14,76.1,77.2,34.4,34.4,34.2,34.4,c,1389581,1392674,2,r,2,r,2,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29_07,29,07,f,13,01/19/22,02/24/23,m,h,11.13,11.14,76.1,77.2,34.4,34.4,34.2,34.4,c,1392674,1392675,2,r,2,r,2,r,11,bu,89,bu,p,,,,,,,,,,,,,,,,,,,,,,,
29_07,29,07,f,13,01/19/22,02/24/23,m,h,11.13,11.14,76.1,77.2,34.4,34.4,34.2,34.4,c,1392675,1392676,2,r,2,r,2,r,11,bu,90,bu,h,,,,,,,,,,,,,,,,,,,,,,,
29_07,29,07,f,13,01/19/22,02/24/23,m,h,11.13,11.14,76.1,77.2,34.4,34.4,34.2,34.4,c,1392676,1396278,2,r,2,r,2,r,11,bu,,,,,,,,,,,,,,,,,,,,,,,,,,
29_07,29,07,f,13,01/19/22,02/24/23,m,h,11.13,11.14,76.1,77.2,34.4,34.4,34.2,34.4,c,1396278,1396279,2,r,2,r,2,r,11,bu,91,bu,d,,,,,,,,,,,,,,,,,,,,,,,
29_07,29,07,f,13,01/19/22,02/24/23,m,h,11.13,11.14,76.1,77.2,34.4,34.4,34.2,34.4,c,1396279,1407192,2,r,2,r,2,r,11,bu,,,,,,,,,,,,,,,,,,,,,,,,,,
29_07,29,07,f,13,01/19/22,02/24/23,m,h,11.13,11.14,76.1,77.2,34.4,34.4,34.2,34.4,c,1407192,1407193,2,r,2,r,2,r,11,bu,92,bu,p,,,,,,,,,,,,,,,,,,,,,,,
29_07,29,07,f,13,01/19/22,02/24/23,m,h,11.13,11.14,76.1,77.2,34.4,34.4,34.2,34.4,c,1407193,1408008,2,r,2,r,2,r,11,bu,,,,,,,,,,,,,,,,,,,,,,,,,,
29_07,29,07,f,13,01/19/22,02/24/23,m,h,11.13,11.14,76.1,77.2,34.4,34.4,34.2,34.4,c,1408008,1408009,2,r,2,r,2,r,11,bu,93,bu,s,,,,,,,,,,,,,,,,,,,,,,,
29_07,29,07,f,13,01/19/22,02/24/23,m,h,11.13,11.14,76.1,77.2,34.4,34.4,34.2,34.4,c,1408009,1410933,2,r,2,r,2,r,11,bu,,,,,,,,,,,,,,,,,,,,,,,,,,
29_07,29,07,f,13,01/19/22,02/24/23,m,h,11.13,11.14,76.1,77.2,34.4,34.4,34.2,34.4,c,1410933,1410934,2,r,2,r,2,r,11,bu,94,bu,h,,,,,,,,,,,,,,,,,,,,,,,
29_07,29,07,f,13,01/19/22,02/24/23,m,h,11.13,11.14,76.1,77.2,34.4,34.4,34.2,34.4,c,1410934,1413958,2,r,2,r,2,r,11,bu,,,,,,,,,,,,,,,,,,,,,,,,,,
29_07,29,07,f,13,01/19/22,02/24/23,m,h,11.13,11.14,76.1,77.2,34.4,34.4,34.2,34.4,c,1413958,1413959,2,r,2,r,2,r,11,bu,,,,,,,,,,,,,5,rb,17,rb,p,,,,,,,,,
29_07,29,07,f,13,01/19/22,02/24/23,m,h,11.13,11.14,76.1,77.2,34.4,34.4,34.2,34.4,c,1413959,1414468,2,r,2,r,2,r,11,bu,,,,,,,,,,,,,5,rb,,,,,,,,,,,,
29_07,29,07,f,13,01/19/22,02/24/23,m,h,11.13,11.14,76.1,77.2,34.4,34.4,34.2,34.4,c,1414468,1414469,2,r,2,r,2,r,11,bu,95,bu,s,,,,,,,,,,5,rb,18,rb,s,,,,,,,,,
29_07,29,07,f,13,01/19/22,02/24/23,m,h,11.13,11.14,76.1,77.2,34.4,34.4,34.2,34.4,c,1414469,1415114,2,r,2,r,2,r,11,bu,,,,,,,,,,,,,5,rb,,,,,,,,,,,,
29_07,29,07,f,13,01/19/22,02/24/23,m,h,11.13,11.14,76.1,77.2,34.4,34.4,34.2,34.4,c,1415114,1415115,2,r,2,r,2,r,11,bu,,,,,,,,,,,,,5,rb,19,rb,d,,,,,,,,,
29_07,29,07,f,13,01/19/22,02/24/23,m,h,11.13,11.14,76.1,77.2,34.4,34.4,34.2,34.4,c,1415115,1417018,2,r,2,r,2,r,11,bu,,,,,,,,,,,,,,,,,,,,,,,,,,
29_07,29,07,f,13,01/19/22,02/24/23,m,h,11.13,11.14,76.1,77.2,34.4,34.4,34.2,34.4,c,1417018,1417019,2,r,2,r,2,r,11,bu,96,bu,th,,,,,,,,,,,,,,,,,,,,,,,
29_07,29,07,f,13,01/19/22,02/24/23,m,h,11.13,11.14,76.1,77.2,34.4,34.4,34.2,34.4,c,1417019,1423886,2,r,2,r,2,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29_07,29,07,f,13,01/19/22,02/24/23,m,h,11.13,11.14,76.1,77.2,34.4,34.4,34.2,34.4,c,1423886,1423887,2,r,2,r,2,r,12,rb,97,rb,p,,,,,,,,,,,,,,,,,,,,,,,
29_07,29,07,f,13,01/19/22,02/24/23,m,h,11.13,11.14,76.1,77.2,34.4,34.4,34.2,34.4,c,1423887,1424430,2,r,2,r,2,r,12,rb,,,,,,,,,,,,,,,,,,,,,,,,,,
29_07,29,07,f,13,01/19/22,02/24/23,m,h,11.13,11.14,76.1,77.2,34.4,34.4,34.2,34.4,c,1424430,1424431,2,r,2,r,2,r,12,rb,98,rb,th,,,,,,,,,,,,,,,,,,,,,,,
29_07,29,07,f,13,01/19/22,02/24/23,m,h,11.13,11.14,76.1,77.2,34.4,34.4,34.2,34.4,c,1424431,1475736,2,r,2,r,2,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29_07,29,07,f,13,01/19/22,02/24/23,m,h,11.13,11.14,76.1,77.2,34.4,34.4,34.2,34.4,c,1475736,1789760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29_07,29,07,f,13,01/19/22,02/24/23,m,h,11.13,11.14,76.1,77.2,34.4,34.4,34.2,34.4,c,1789760,2126190,3,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29_07,29,07,f,13,01/19/22,02/24/23,m,h,11.13,11.14,76.1,77.2,34.4,34.4,34.2,34.4,c,2126190,2206192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29_07,29,07,f,13,01/19/22,02/24/23,m,h,11.13,11.14,76.1,77.2,34.4,34.4,34.2,34.4,c,2206192,2544186,4,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29_07,29,07,f,13,01/19/22,02/24/23,m,h,11.13,11.14,76.1,77.2,34.4,34.4,34.2,34.4,c,2544186,2572304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29_07,29,07,f,13,01/19/22,02/24/23,m,h,11.13,11.14,76.1,77.2,34.4,34.4,34.2,34.4,c,2572304,3052942,5,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29_07,29,07,f,13,01/19/22,02/24/23,m,h,11.13,11.14,76.1,77.2,34.4,34.4,34.2,34.4,c,3052942,3095092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29_07,29,07,f,13,01/19/22,02/24/23,m,h,11.13,11.14,76.1,77.2,34.4,34.4,34.2,34.4,c,3095092,3474805,6,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34_11,34,11,f,12,11/12/22,11/09/23,w,n,9.7,9.7,74.7,75.1,33,.,33,.,w,533732,1154028,1,p,1,p,1,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34_11,34,11,f,12,11/12/22,11/09/23,w,n,9.7,9.7,74.7,75.1,33,.,33,.,w,1154028,1234778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
